Year,Month,City,Therapy Area,Units Sold,Price per Unit,Revenue
2021,Jan,Mumbai,Diabetes,8000,₹120,"₹960,000"
2021,Jan,Mumbai,Cardiology,3376,₹150,"₹506,400"
2021,Jan,Mumbai,Respiratory,2385,₹110,"₹262,350"
2021,Jan,Mumbai,Gastrointestinal,8000,₹95,"₹760,000"
2021,Jan,Mumbai,Anti-infective,5254,₹80,"₹420,320"
2021,Jan,Mumbai,Pain Management,4908,₹60,"₹294,480"
2021,Jan,Delhi,Diabetes,4492,₹120,"₹539,040"
2021,Jan,Delhi,Cardiology,3568,₹150,"₹535,200"
2021,Jan,Delhi,Respiratory,8000,₹110,"₹880,000"
2021,Jan,Delhi,Gastrointestinal,3157,₹95,"₹299,915"
2021,Jan,Delhi,Anti-infective,8000,₹80,"₹640,000"
2021,Jan,Delhi,Pain Management,8000,₹60,"₹480,000"
2021,Jan,Bangalore,Diabetes,7160,₹120,"₹859,200"
2021,Jan,Bangalore,Cardiology,2654,₹150,"₹398,100"
2021,Jan,Bangalore,Respiratory,7604,₹110,"₹836,440"
2021,Jan,Bangalore,Gastrointestinal,5947,₹95,"₹564,965"
2021,Jan,Bangalore,Anti-infective,2112,₹80,"₹168,960"
2021,Jan,Bangalore,Pain Management,2092,₹60,"₹125,520"
2021,Jan,Hyderabad,Diabetes,2607,₹120,"₹312,840"
2021,Jan,Hyderabad,Cardiology,3784,₹150,"₹567,600"
2021,Jan,Hyderabad,Respiratory,3915,₹110,"₹430,650"
2021,Jan,Hyderabad,Gastrointestinal,6484,₹95,"₹615,980"
2021,Jan,Hyderabad,Anti-infective,7395,₹80,"₹591,600"
2021,Jan,Hyderabad,Pain Management,1974,₹60,"₹118,440"
2021,Jan,Chennai,Diabetes,6706,₹120,"₹804,720"
2021,Jan,Chennai,Cardiology,3440,₹150,"₹516,000"
2021,Jan,Chennai,Respiratory,8000,₹110,"₹880,000"
2021,Jan,Chennai,Gastrointestinal,7505,₹95,"₹712,975"
2021,Jan,Chennai,Anti-infective,7969,₹80,"₹637,520"
2021,Jan,Chennai,Pain Management,6560,₹60,"₹393,600"
